"School Year",State,"File Spec","Data Group","Reporting Level","Data Note","State Note"
2019-2020,ILLINOIS,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -30% different from the number of English learners identified as chronically absent in the prior year.",
2019-2020,IOWA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is 42% different from the number of English learners identified as chronically absent in the prior year.","We believe this difference is due to district tracking and reporting of attendance during the COVID-19 pandemic. We will be paying close attention to this data over the next several years to see if this trend continues."
2019-2020,IOWA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is 35% different from the number of students identified as chronically absent in in the prior year.","We believe this difference is due to district tracking and reporting of attendance during the COVID-19 pandemic. We will be paying close attention to this data over the next several years to see if this trend continues."
2019-2020,KENTUCKY,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -33%  different from the number of students identified as chronically absent in in the prior year.","Due to COVID-19, attendance was not tracked in Kentucky's student information system from mid-March through the end of the year. Without attendance data for these months, the overall count of chronically absent students decreased for the year."
2019-2020,KENTUCKY,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -33 % different from the number of English learners identified as chronically absent in the prior year.","Due to COVID-19, attendance was not tracked in Kentucky's student information system from mid-March through the end of the year. Without attendance data for these months, the count of chronically absent English learners decreased for the year."
2019-2020,LOUISIANA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is  -32%  different from the number of students identified as chronically absent in in the prior year.","Due to COVID-19 and Louisiana governor's proclamation to waive seat time requirements in all public schools, school systems were instructed to report student attendance/absences through March 13, 2020. Due to this change in attendance reporting, less students were considered chronically absent for 2019-20 school year."
2019-2020,MAINE,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is 21 % different from the number of English learners identified as chronically absent in the prior year.","This data is accurate"
2019-2020,MASSACHUSETTS,195,814,"LEA,SCH,SEA","Education Unit Total to Category Set A: The sum of education unit totals across all schools does not equal the sum of Category Set A (Sex (Membership)) across all schools. It is a difference of 1%.","These data are accurate.  The discrepancy in totals is due to the count of non-binary students, which we are not permitted to include as a category in Category Set A."
2019-2020,MISSISSIPPI,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -38%  different from the number of students identified as chronically absent in in the prior year.","Data have been verified as accurate. Data from 2019-20 should not be compared to other years. MDE guidance to LEAs was that for every instructional calendar day throughout the governor-declared state of emergency (March 11, 2020 through end of school year), all students should be marked as “present”. This caused a marked decrease in chronic absenteeism rates."
2019-2020,MISSISSIPPI,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -28% different from the number of English learners identified as chronically absent in the prior year.","Data have been verified as accurate. Data from 2019-20 should not be compared to other years. MDE guidance to LEAs was that for every instructional calendar day throughout the governor-declared state of emergency (March 11, 2020 through end of school year), all students should be marked as “present”. This caused a marked decrease in chronic absenteeism rates."
2019-2020,MISSOURI,195,814,"LEA,SCH,SEA","Category Set C was not submitted for FS195/DG814 at the SCH level.",
2019-2020,MONTANA,195,814,"LEA,SCH,SEA","831 SCHs are included in this year's file, a change of -34.75%.","Data is complete."
2019-2020,MONTANA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -46.3 %  different from the number of students identified as chronically absent in in the prior year.","Per data note in SSP: ""15 March 2020 Governor of MT closed schools for a period of two weeks.  MT is a local control state.  Many of MT's schools remained remote until the end of the year.  The definition that was used for data collection for the whole school year is “A student was absent if he or she was not physically on school grounds and was not participating in instruction or instruction-related activities at an approved off-grounds location for at least half the school day.”"
2019-2020,MONTANA,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year isr -20% different from the number of English learners identified as chronically absent in the prior year.","Per data note in SSP: ""15 March 2020 Governor of MT closed schools for a period of two weeks.  MT is a local control state.  Many of MT's schools remained remote until the end of the year.  The definition that was used for data collection for the whole school year is “A student was absent if he or she was not physically on school grounds and was not participating in instruction or instruction-related activities at an approved off-grounds location for at least half the school day.”"
2019-2020,"NEW HAMPSHIRE",195,814,"LEA,SCH,SEA","Category Set C was not submitted for FS195/DG814 at the SCH level.","504 data is not collected by NH."
2019-2020,"NEW HAMPSHIRE",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is 26% different from the number of English learners identified as chronically absent in the prior year.",
2019-2020,"NEW JERSEY",195,814,"LEA,SCH,SEA","Education Unit Total to Category Set A: The sum of education unit totals across all schools does not equal the sum of Category Set A (Sex (Membership)) across all schools. It is a difference .01 %.","The sum of the education unit totals across all schools does not equal the sum of Category Set A (Sex (Membership)) across all school because several non-binary gender students were identified as chronically absent in 2019-2020. These students are not included in Category Set A because their gender identities do not conform to the allowable categories."
2019-2020,"NEW JERSEY",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -27%  different from the number of students identified as chronically absent in in the prior year.","This year's data reflect the impact of the COVID-19 public health emergency on early Spring 2020 attendance policies."
2019-2020,"NORTH CAROLINA",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is  -41%  different from the number of students identified as chronically absent in in the prior year.","Attendance was not required in NC after March 13, 2020 due to COVID.  These numbers reflect absences through that date."
2019-2020,"NORTH CAROLINA",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -38% different from the number of English learners identified as chronically absent in the prior year.","Attendance was not required in NC after March 13, 2020 due to COVID.  These numbers reflect absences up to that date."
2019-2020,"NORTH DAKOTA",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is 20% different from the number of English learners identified as chronically absent in the prior year.","The data is accurate as submitted. This is also COVID related and distance learning."
2019-2020,OHIO,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -32%  different from the number of students identified as chronically absent in in the prior year.","The data reported have been verified as correct and accurately reflect the data submitted to ODE by LEAs. One possible factor in the decrease from school years 2018-2019 to 2019-2020 may be the difficulty LEAs had identifying and reporting data for certain student subgroups during the pandemic, as many LEAs have shifted among hybrid, virtual, and in-building learning models."
2019-2020,OHIO,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is-24% different from the number of English learners identified as chronically absent in the prior year.","The data reported  have been verified as correct and accurately reflect the data submitted to ODE by LEAs. One possible factor in the decrease from school years 2018-2019 to 2019-2020 may be the difficulty LEAs had identifying and reporting data for certain student subgroups during the pandemic, as many LEAs have shifted among hybrid, virtual, and in-building learning models."
2019-2020,"PUERTO RICO",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -25% different from the number of English learners identified as chronically absent in the prior year.","Differences may be due to difficulty in collecting attendance data from different learning settings during pandemic closures."
2019-2020,"SOUTH CAROLINA",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -40%  different from the number of students identified as chronically absent in in the prior year.","South Carolina schools closed in March due to COVID and students were taught virtually.  For purposes of Chronic Absenteeism, students were assumed to be present while virtually instructed in 2019-20.  For this year, the count is lower."
2019-2020,"SOUTH CAROLINA",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -39% different from the number of English learners identified as chronically absent in the prior year.","South Carolina schools closed in March due to COVID and students were taught virtually.  For purposes of Chronic Absenteeism, students were assumed to be present while virtually instructed in 2019-20.  For this year, the count is lower."
2019-2020,"SOUTH DAKOTA",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -31%  different from the number of students identified as chronically absent in in the prior year.","The 2019-20 counts and rates are not comparable with the 2018-19 data because South Dakota schools closed in March 2020 due to the pandemic; attendance data were not collected for the remainder of the 2019-2020 school year"
2019-2020,"SOUTH DAKOTA",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -40% different from the number of English learners identified as chronically absent in the prior year.","The 2019-20 counts and rates are not comparable with the 2018-19 data because South Dakota schools closed in March 2020 due to the pandemic; attendance data were not collected for the remainder of the 2019-2020 school year"
2019-2020,TEXAS,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -40%  different from the number of students identified as chronically absent in in the prior year.","Data are verified to be correct."
2019-2020,TEXAS,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -36% different from the number of English learners identified as chronically absent in the prior year.","Data are verified to be correct."
2019-2020,UTAH,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -32%  different from the number of students identified as chronically absent in in the prior year.","State waived attendence and absent records with the statewide school closure due to the pandemic.  All public schools in the state went into soft closure March 16, 2020."
2019-2020,UTAH,195,814,"LEA,SCH,SEA","Education Unit Total to Category Set A: The sum of education unit totals across all schools does not equal the sum of Category Set A (Sex (Membership)) across all schools. It is a difference  .01 %.","The students missing are student records of individual who did not identify as either male or female"
2019-2020,UTAH,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -22% different from the number of English learners identified as chronically absent in the prior year.","State waived attendence and absent records with the statewide school closure due to the pandemic.  All public schools in the state went into soft closure March 16, 2020."
2019-2020,VERMONT,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is 21% different from the number of students identified as chronically absent in in the prior year.","The increase is largely due to the difficulties in recording attendance in the spring of 2020 when schools went to totally remote learning due to covid-19."
2019-2020,VERMONT,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is 70 students or 32% different from the number of English learners identified as chronically absent in the prior year.","The increase is largely due to the difficulties in recording attendance in the spring of 2020 when schools went to totally remote learning due to covid-19."
2019-2020,WASHINGTON,195,814,"LEA,SCH,SEA","Education Unit Total to Category Set A: The sum of education unit totals across all schools does not equal the sum of Category Set A (Sex (Membership)) across all schools. It is a difference of .3 %.","Washington gathers F, M, and X in our student-level data collection - we were provided guidance to exclude X in any Category Sets involving Sex, but to include those student counts in any other Category Sets and Totals."
2019-2020,WASHINGTON,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of students identified as chronically absent in the current year is -36%  different from the number of students identified as chronically absent in in the prior year.","On March 17th, 2020, Governor Inslee announced the closures of school facilities to prevent the spread of COVID-19. Analysis of data collected during the 2019-20 school year revealed that these school facility closures strongly impacted the reporting of student data, such as student absences. After review we have concluded that this drop in chronic absenteeism is expected and in line with our findings, based on the observed drop in absence data provided by schools and districts from March 1st 2020 through the end of the School year."
2019-2020,WASHINGTON,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -34% different from the number of English learners identified as chronically absent in the prior year.","On March 17th, 2020, Governor Inslee announced the closures of school facilities to prevent the spread of COVID-19. Analysis of data collected during the 2019-20 school year revealed that these school facility closures strongly impacted the reporting of student data, such as student absences. After review we have concluded that this drop in chronic absenteeism is expected and in line with our findings, based on the observed drop in absence data provided by schools and districts from March 1st 2020 through the end of the School year."
2019-2020,"WEST VIRGINIA",195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is  32% different from the number of English learners identified as chronically absent in the prior year.","The increase in English learner absenteeism is due to the COVID-19 pandemic."
2019-2020,WISCONSIN,195,814,"LEA,SCH,SEA","Education Unit Total to Category Set A: The sum of education unit totals across all schools does not equal the sum of Category Set A (Sex (Membership)) across all schools. It is a difference of .01 %.","The data are accurate. There are several students for which the Sex (Membership) or Racial Ethnic values are unknown. The Wisconsin Department of Public Instruction has multiple errors and warnings that are displayed to LEAs when data is submitted with a missing race/ethnicity, but these errors and warnings are not always resolved prior to our statewide data snapshot. In the case the LEA reports a missing/unknown race/ethnicity, we report the student in the overall total, but remove them from any category sets that report by race/ethnicity."
2019-2020,WYOMING,195,814,"LEA,SCH,SEA","Year to Year comparison: The number of English learners identified as chronically absent in the current year is -23% different from the number of English learners identified as chronically absent in the prior year.","Data is accurate as reported."
